"Year","Group","Pct","Side","Amount","GroupName","PctMil","perPerson","Ratio"
1927,"Bottom.90",0.991610670656705,"Bottom",90,"90-10",9916106.70656705,110178.963406301,13.1332266141583
1928,"Bottom.90",0.99155622089407,"Bottom",90,"90-10",9915562.2089407,110172.913432674,13.0478204190936
1929,"Bottom.90",0.991574212065148,"Bottom",90,"90-10",9915742.12065148,110174.912451683,13.0759180391855
1930,"Bottom.90",0.991638121468868,"Bottom",90,"90-10",9916381.21468868,110182.013496541,13.176705818714
1931,"Bottom.90",0.991642946196477,"Bottom",90,"90-10",9916429.46196477,110182.549577386,13.1843771941427
1932,"Bottom.90",0.99160144924884,"Bottom",90,"90-10",9916014.4924884,110177.938805427,13.1186846480867
1933,"Bottom.90",0.991585589358939,"Bottom",90,"90-10",9915855.89358939,110176.176595438,13.0937484864121
1934,"Bottom.90",0.99174681563396,"Bottom",90,"90-10",9917468.1563396,110194.090625996,13.3517059281287
1935,"Bottom.90",0.991883800076495,"Bottom",90,"90-10",9918838.00076495,110209.311119611,13.5789300606596
1936,"Bottom.90",0.991843133702054,"Bottom",90,"90-10",9918431.33702054,110204.792633562,13.5106778275028
1937,"Bottom.90",0.99201044907495,"Bottom",90,"90-10",9920104.4907495,110223.38323055,13.7959422581506
1938,"Bottom.90",0.992030293154642,"Bottom",90,"90-10",9920302.93154642,110225.588128294,13.8305699653798
1939,"Bottom.90",0.991993495325162,"Bottom",90,"90-10",9919934.95325162,110221.499480574,13.7664941140884
1940,"Bottom.90",0.992242602900211,"Bottom",90,"90-10",9922426.02900211,110249.178100023,14.212135421432
1941,"Bottom.90",0.992382367714656,"Bottom",90,"90-10",9923823.67714656,110264.707523851,14.4749317627206
1942,"Bottom.90",0.992532325353936,"Bottom",90,"90-10",9925323.25353936,110281.369483771,14.7678326534888
1943,"Bottom.90",0.992481787456889,"Bottom",90,"90-10",9924817.87456889,110275.754161877,14.6678154587319
1944,"Bottom.90",0.99251379305086,"Bottom",90,"90-10",9925137.9305086,110279.310338984,14.7309994351217
1945,"Bottom.90",0.992476918106948,"Bottom",90,"90-10",9924769.18106948,110275.213122994,14.6582497293884
1946,"Bottom.90",0.992540945678812,"Bottom",90,"90-10",9925409.45678812,110282.327297646,14.7850280409384
1947,"Bottom.90",0.992700200033155,"Bottom",90,"90-10",9927002.00033155,110300.022225906,15.1100061271374
1948,"Bottom.90",0.992813436081261,"Bottom",90,"90-10",9928134.36081261,110312.604009029,15.3498396808781
1949,"Bottom.90",0.992887837593971,"Bottom",90,"90-10",9928878.37593971,110320.870843775,15.5115792561567
1950,"Bottom.90",0.992843424555922,"Bottom",90,"90-10",9928434.24555922,110315.936061769,15.414626300495
1951,"Bottom.90",0.992856344493449,"Bottom",90,"90-10",9928563.44493449,110317.371610383,15.4427059800423
1952,"Bottom.90",0.992886920535409,"Bottom",90,"90-10",9928869.20535409,110320.768948379,15.5095650902748
1953,"Bottom.90",0.99296836059271,"Bottom",90,"90-10",9929683.6059271,110329.817843634,15.690482894963
1954,"Bottom.90",0.992944665010795,"Bottom",90,"90-10",9929446.65010795,110327.185001199,15.6374127054209
1955,"Bottom.90",0.99290325611559,"Bottom",90,"90-10",9929032.5611559,110322.584012843,15.5455214123202
1956,"Bottom.90",0.992869374295439,"Bottom",90,"90-10",9928693.74295439,110318.81936616,15.4711274910405
1957,"Bottom.90",0.992819546990243,"Bottom",90,"90-10",9928195.46990243,110313.282998916,15.3629976895629
1958,"Bottom.90",0.992824003538997,"Bottom",90,"90-10",9928240.03538997,110313.778171,15.3726076608998
1959,"Bottom.90",0.992753504057535,"Bottom",90,"90-10",9927535.04057535,110305.944895282,15.2219701454429
1960,"Bottom.90",0.992731986083047,"Bottom",90,"90-10",9927319.86083047,110303.554009227,15.1765744080296
1961,"Bottom.90",0.992707448215043,"Bottom",90,"90-10",9927074.48215043,110300.827579449,15.1251346349001
1962,"Bottom.90",0.9926375,"Bottom",90,"90-10",9926375,110293.055555556,14.9803810601773
1963,"Bottom.90",0.99268625,"Bottom",90,"90-10",9926862.5,110298.472222222,15.0809738126436
1964,"Bottom.90",0.992735,"Bottom",90,"90-10",9927350,110303.888888889,15.182916571079
1965,"Bottom.90",0.99278405,"Bottom",90,"90-10",9927840.5,110309.338888889,15.2868768338041
1966,"Bottom.90",0.9928331,"Bottom",90,"90-10",9928331,110314.788888889,15.3922600969581
1967,"Bottom.90",0.992919675,"Bottom",90,"90-10",9929196.75,110324.408333333,15.5818282823646
1968,"Bottom.90",0.9929529,"Bottom",90,"90-10",9929529,110328.1,15.65581586752
1969,"Bottom.90",0.992989,"Bottom",90,"90-10",9929890,110332.111111111,15.7370005863801
1970,"Bottom.90",0.99299975,"Bottom",90,"90-10",9929997.5,110333.305555556,15.7613378887262
1971,"Bottom.90",0.993010975,"Bottom",90,"90-10",9930109.75,110334.552777778,15.7868304631587
1972,"Bottom.90",0.993034425,"Bottom",90,"90-10",9930344.25,110337.158333333,15.8403517776111
1973,"Bottom.90",0.99309345,"Bottom",90,"90-10",9930934.5,110343.716666667,15.976676729578
1974,"Bottom.90",0.993147625,"Bottom",90,"90-10",9931476.25,110349.736111111,16.1038670696089
1975,"Bottom.90",0.993179225,"Bottom",90,"90-10",9931792.25,110353.247222222,16.178989516913
1976,"Bottom.90",0.99322905,"Bottom",90,"90-10",9932290.5,110358.783333333,16.2988625426762
1977,"Bottom.90",0.993281525,"Bottom",90,"90-10",9932815.25,110364.613888889,16.4270334992523
1978,"Bottom.90",0.9933223,"Bottom",90,"90-10",9933223,110369.144444444,16.5280177972123
1979,"Bottom.90",0.9932581,"Bottom",90,"90-10",9932581,110362.011111111,16.3695710572852
1980,"Bottom.90",0.993287,"Bottom",90,"90-10",9932870,110365.222222222,16.4405217074664
1981,"Bottom.90",0.9933047,"Bottom",90,"90-10",9933047,110367.188888889,16.4842783577866
1982,"Bottom.90",0.9934087,"Bottom",90,"90-10",9934087,110378.744444444,16.7461266281984
1983,"Bottom.90",0.9934996,"Bottom",90,"90-10",9934996,110388.844444444,16.9818541081233
1984,"Bottom.90",0.9935618,"Bottom",90,"90-10",9935618,110395.755555556,17.1469907047864
1985,"Bottom.90",0.9936316,"Bottom",90,"90-10",9936316,110403.511111111,17.3361458311524
1986,"Bottom.90",0.9936386,"Bottom",90,"90-10",9936386,110404.288888889,17.355344560771
1987,"Bottom.90",0.9935746,"Bottom",90,"90-10",9935746,110397.177777778,17.1813704637498
1988,"Bottom.90",0.9934662,"Bottom",90,"90-10",9934662,110385.133333333,16.8944769251176
1989,"Bottom.90",0.9934767,"Bottom",90,"90-10",9934767,110386.3,16.9218493707173
1990,"Bottom.90",0.9934266,"Bottom",90,"90-10",9934266,110380.733333333,16.79203050679
1991,"Bottom.90",0.9934502,"Bottom",90,"90-10",9934502,110383.355555556,16.8529352889486
1992,"Bottom.90",0.9932905,"Bottom",90,"90-10",9932905,110365.611111111,16.4491558403921
1993,"Bottom.90",0.9932542,"Bottom",90,"90-10",9932542,110361.577777778,16.3600429567698
1994,"Bottom.90",0.9932624,"Bottom",90,"90-10",9932624,110362.488888889,16.3800891844112
1995,"Bottom.90",0.9932392,"Bottom",90,"90-10",9932392,110359.911111111,16.323498862725
1996,"Bottom.90",0.993196799755096,"Bottom",90,"90-10",9931967.99755096,110355.199972788,16.2210718485698
1997,"Bottom.90",0.993139399886131,"Bottom",90,"90-10",9931393.99886131,110348.82220957,16.0844270731506
1998,"Bottom.90",0.993083199858665,"Bottom",90,"90-10",9930831.99858665,110342.577762074,15.9528359223033
1999,"Bottom.90",0.993048200011253,"Bottom",90,"90-10",9930482.00011253,110338.688890139,15.871959646243
2000,"Bottom.90",0.993015300035477,"Bottom",90,"90-10",9930153.00035477,110335.033337275,15.7966747172661
2001,"Bottom.90",0.993079699873924,"Bottom",90,"90-10",9930796.99873924,110342.18887488,15.9447114813865
2002,"Bottom.90",0.99309800028801,"Bottom",90,"90-10",9930980.0028801,110344.222254223,15.9872829409903
2003,"Bottom.90",0.993072900176048,"Bottom",90,"90-10",9930729.00176048,110341.433352894,15.9289509545349
2004,"Bottom.90",0.993002799749374,"Bottom",90,"90-10",9930027.99749374,110333.644416597,15.7682559401858
2005,"Bottom.90",0.993005899786949,"Bottom",90,"90-10",9930058.99786949,110333.988865217,15.7752942486205
2006,"Bottom.90",0.992933899760246,"Bottom",90,"90-10",9929338.99760246,110325.98886225,15.6134197250073
2007,"Bottom.90",0.992835900187492,"Bottom",90,"90-10",9928359.00187492,110315.100020832,15.3983198040089
2008,"Bottom.90",0.992537099719048,"Bottom",90,"90-10",9925370.99719048,110281.899968783,14.7773514072345
2009,"Bottom.90",0.992492399811745,"Bottom",90,"90-10",9924923.99811745,110276.933312416,14.6887061840254
2010,"Bottom.90",0.992426300048828,"Bottom",90,"90-10",9924263.00048828,110269.588894314,14.5595401990083
2011,"Bottom.90",0.992402300238609,"Bottom",90,"90-10",9924023.00238609,110266.922248734,14.5131981667766
2012,"Bottom.90",0.99227599978447,"Bottom",90,"90-10",9922759.9978447,110252.888864941,14.2740660005756
1917,"Bottom.95",0.993268996281295,"Bottom",95,"95-5",9932689.96281295,104554.631187505,7.76664488365682
1918,"Bottom.95",0.993531437797353,"Bottom",95,"95-5",9935314.37797353,104582.256610248,8.08388737202244
1919,"Bottom.95",0.993277290666994,"Bottom",95,"95-5",9932772.90666994,104555.504280736,7.77629219869775
1920,"Bottom.95",0.993725605713944,"Bottom",95,"95-5",9937256.05713944,104602.69533831,8.33568075015359
1921,"Bottom.95",0.993701609689082,"Bottom",95,"95-5",9937016.09689082,104600.169440956,8.30372240186837
1922,"Bottom.95",0.993480375317797,"Bottom",95,"95-5",9934803.75317797,104576.8816124,8.02016118334821
1923,"Bottom.95",0.993655439105785,"Bottom",95,"95-5",9936554.39105785,104595.309379556,8.24291161543837
1924,"Bottom.95",0.993477431301596,"Bottom",95,"95-5",9934774.31301596,104576.571715957,8.01651746048661
1925,"Bottom.95",0.992921491263663,"Bottom",95,"95-5",9929214.91263663,104518.051711965,7.38277337819958
1926,"Bottom.95",0.992756231075888,"Bottom",95,"95-5",9927562.31075888,104500.655902725,7.21314118365094
1927,"Bottom.95",0.992666897051585,"Bottom",95,"95-5",9926668.97051585,104491.252321219,7.12462739554201
1928,"Bottom.95",0.992589768299625,"Bottom",95,"95-5",9925897.68299625,104483.133505224,7.04992351993059
1929,"Bottom.95",0.99259410083956,"Bottom",95,"95-5",9925941.0083956,104483.589562059,7.0540785999475
