year_round,country_code,value,over,fill,color,n,world,world_text,title,map_col,map_row
1962,KHM,0.0569767585,FALSE,0.0569767585,NA,7,2,0K,1962 7,20,11
1962,KIR,0.333673897,FALSE,0.333673897,NA,7,2,0K,1962 7,NA,NA
1962,KNA,0.3253446845,FALSE,0.3253446845,NA,7,2,0K,1962 7,NA,NA
1962,KOR,0.712911724,FALSE,0.712911724,NA,7,2,0K,1962 7,22,19
1962,KWT,43.52990188,TRUE,10,black,7,2,0K,1962 7,16,13
1962,LAO,0.061978187500000004,FALSE,0.061978187500000004,NA,7,2,0K,1962 7,20,13
1962,LBN,1.5048312115,FALSE,1.5048312115,NA,7,2,0K,1962 7,14,15
1962,LBR,0.2566781645,FALSE,0.2566781645,NA,7,2,0K,1962 7,8,8
1962,LBY,0.793321929,FALSE,0.793321929,NA,7,2,0K,1962 7,12,13
1962,LCA,0.2173408275,FALSE,0.2173408275,NA,7,2,0K,1962 7,4,9
1962,LKA,0.24335292349999998,FALSE,0.24335292349999998,NA,7,2,0K,1962 7,18,12
1962,LUX,35.668105985,TRUE,10,black,7,2,0K,1962 7,10,21
1962,MAC,0.559152384,FALSE,0.559152384,NA,7,2,0K,1962 7,21,16
1962,MAR,0.2645313595,FALSE,0.2645313595,NA,7,2,0K,1962 7,9,14
1962,MDG,0.0791039635,FALSE,0.0791039635,NA,7,2,0K,1962 7,15,2
1962,MEX,1.5760249525,FALSE,1.5760249525,NA,7,2,0K,1962 7,1,16
1962,MLI,0.029120225,FALSE,0.029120225,NA,7,2,0K,1962 7,10,12
1962,MLT,1.146114479,FALSE,1.146114479,NA,7,2,0K,1962 7,10,17
1962,MMR,0.1247370095,FALSE,0.1247370095,NA,7,2,0K,1962 7,19,12
1962,MNG,1.7440391485,FALSE,1.7440391485,NA,7,2,0K,1962 7,20,20
1962,MOZ,0.23471711750000002,FALSE,0.23471711750000002,NA,7,2,0K,1962 7,14,3
1962,MRT,0.08129533350000001,FALSE,0.08129533350000001,NA,7,2,0K,1962 7,8,14
1962,MUS,0.3260227215,FALSE,0.3260227215,NA,7,2,0K,1962 7,16,1
1962,NCL,7.001252962500001,FALSE,7.001252962500001,NA,7,2,0K,1962 7,22,5
1962,NER,0.021110483,FALSE,0.021110483,NA,7,2,0K,1962 7,11,12
1962,NGA,0.10013791799999999,FALSE,0.10013791799999999,NA,7,2,0K,1962 7,12,8
1962,NIC,0.39190946800000004,FALSE,0.39190946800000004,NA,7,2,0K,1962 7,2,9
1962,NLD,7.342389342500001,FALSE,7.342389342500001,NA,7,2,0K,1962 7,10,22
1962,NOR,3.9775710139999996,FALSE,3.9775710139999996,NA,7,2,0K,1962 7,11,25
1962,NPL,0.0089289515,FALSE,0.0089289515,NA,7,2,0K,1962 7,18,14
1962,NZL,4.6734313575,FALSE,4.6734313575,NA,7,2,0K,1962 7,22,1
1962,PAK,0.362527133,FALSE,0.362527133,NA,7,2,0K,1962 7,17,14
1962,PAN,0.9736438220000001,FALSE,0.9736438220000001,NA,7,2,0K,1962 7,2,7
1962,PER,0.9349139049999999,FALSE,0.9349139049999999,NA,7,2,0K,1962 7,2,4
1962,PHL,0.382159611,FALSE,0.382159611,NA,7,2,0K,1962 7,21,14
1962,PLW,5.1787934685,FALSE,5.1787934685,NA,7,2,0K,1962 7,NA,NA
1962,PNG,0.1072605665,FALSE,0.1072605665,NA,7,2,0K,1962 7,21,8
1962,POL,7.3411132405,FALSE,7.3411132405,NA,7,2,0K,1962 7,12,22
1962,PRT,1.0722932445,FALSE,1.0722932445,NA,7,2,0K,1962 7,7,18
1962,PRY,0.1975691565,FALSE,0.1975691565,NA,7,2,0K,1962 7,4,3
1962,PYF,0.6649966974999999,FALSE,0.6649966974999999,NA,7,2,0K,1962 7,23,4
1962,QAT,51.4260774885,TRUE,10,black,7,2,0K,1962 7,16,11
1962,ROU,3.5595562175,FALSE,3.5595562175,NA,7,2,0K,1962 7,NA,NA
1962,RWA,0.027414014,FALSE,0.027414014,NA,7,2,0K,1962 7,14,6
1962,SAU,1.4858024859999999,FALSE,1.4858024859999999,NA,7,2,0K,1962 7,15,12
1962,SDN,0.14114145449999999,FALSE,0.14114145449999999,NA,7,2,0K,1962 7,13,12
1962,SEN,0.2439330065,FALSE,0.2439330065,NA,7,2,0K,1962 7,8,13
